brandKey,gameUid,displayName,category,imageUrl
JILI,810,Rummy,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/810/public
JILI,10502,Safari King,Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10502/public
JILI,394,Safari Mystery,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/394/public
JILI,489,Samba,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/489/public
JILI,119,Secret Treasure,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/119/public
JILI,443,SevenSevenSeven,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/443/public
JILI,547,Shanghai Beauty,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/547/public
JILI,466,Shogun,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/466/public
JILI,1017,Sic Bo,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1017/public
JILI,596,Sin City,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/596/public
JILI,727,Speed Baccarat,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/727/public
JILI,879,Super Ace,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/879/public
JILI,581,Super Ace Deluxe,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/581/public
JILI,189,Super Ace Joker,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/189/public
JILI,59,Super Ace Scratch,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/59/public
JILI,915,Super Bingo,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/915/public
JILI,513,Super E-Sabong,flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/513/public
JILI,850,Super Rich,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/850/public
JILI,667,Sweet Land,Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/667/public
