Game ID,Game Name,Brand,Category,Image URL
,"Speed Baccarat Q","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6450/public
,"Speed Baccarat R","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6449/public
,"Speed Baccarat S","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6452/public
,"Speed Baccarat T","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6451/public
,"Speed Baccarat U","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6448/public
,"Speed Baccarat V","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6447/public
,"Speed Baccarat W","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6446/public
,"Speed Baccarat X","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6445/public
,"Speed Baccarat Z","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6444/public
,"Speed Blackjack E","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6269/public
,"Speed Blackjack I","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6414/public
,"Speed Roulette","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6264/public
,"Speed VIP Blackjack A","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6411/public
,"Speed VIP Blackjack B","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6410/public
,"Speed VIP Blackjack C","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6408/public
,"Speed VIP Blackjack D","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6409/public
,"Speed VIP Blackjack E","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6405/public
,"Speed VIP Blackjack F","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6407/public
